player,team,att,rec,rush_yds,recv_yds,tds,games,fantasy_points,Fpts_per_game
Saquon Barkley,PHI,345,33,"2,005",278,15,16,322.3,20.1
Derrick Henry,BAL,325,19,"1,921",193,18,17,317.4,18.7
Jahmyr Gibbs,DET,250,52,"1,412",517,20,17,310.9,18.3
Bijan Robinson,ATL,304,61,"1,456",431,15,17,280.7,16.5
Josh Jacobs,GB,301,36,"1,329",342,16,17,257.1,15.1
Kyren Williams,LAR,316,34,"1,299",182,16,16,238.1,14.9
James Cook,BUF,207,32,"1,009",258,18,16,234.7,14.7
Jonathan Taylor,IND,303,18,"1,431",136,12,14,226.7,16.2
De'Von Achane,MIA,203,78,907,592,12,17,221.9,13.1
James Conner,ARI,236,47,"1,094",414,9,16,206.8,12.9
Joe Mixon,HOU,245,36,"1,016",309,12,14,204.5,14.6
Chase Brown,CIN,229,54,990,360,11,16,201,12.6
Chuba Hubbard,CAR,250,43,"1,195",171,11,15,198.6,13.2
Bucky Irving,TB,207,47,"1,122",392,8,17,197.4,11.6
Alvin Kamara,NO,228,68,950,543,8,14,197.3,14.1
Aaron Jones Sr.,MIN,255,51,"1,138",408,7,17,190.6,11.2
David Montgomery,DET,185,36,775,341,12,14,185.7,13.3
Breece Hall,NYJ,209,57,876,483,8,16,183.9,11.5
D'Andre Swift,CHI,253,42,959,386,6,17,172.5,10.1
Najee Harris,LAC,263,36,"1,043",283,6,17,168.6,9.9
J.K. Dobbins,DEN,195,32,905,153,9,13,159.8,12.3
Tony Pollard,TEN,260,41,"1,079",238,5,16,159.7,10
Rico Dowdle,CAR,235,39,"1,079",249,5,16,158.8,9.9
Rachaad White,TB,144,51,613,393,9,16,148.6,9.3
Zach Charbonnet,SEA,135,42,569,340,9,17,144.9,8.5
Tyrone Tracy Jr.,NYG,192,38,839,284,6,17,144.3,8.5
Rhamondre Stevenson,NE,207,33,801,168,8,15,142.9,9.5
Brian Robinson Jr.,WAS,187,20,799,159,8,14,139.8,10
Kenneth Walker III,SEA,153,46,573,299,8,11,135.2,12.3
Kareem Hunt,KC,200,23,728,176,7,13,132.4,10.2
Tank Bigsby,JAC,168,7,766,54,7,16,122,7.6
Javonte Williams,DAL,139,52,513,346,4,17,105.9,6.2
Jordan Mason,MIN,153,11,789,91,3,12,104,8.7
Alexander Mattison,MIA,132,36,420,294,5,14,101.4,7.2
Ray Davis,BUF,113,17,442,189,6,17,99.1,5.8
Austin Ekeler,WAS,77,35,367,366,4,12,97.3,8.1
Jerome Ford,CLE,104,37,565,225,3,14,97,6.9
Tyler Allgeier,ATL,137,13,644,88,3,17,93.2,5.5
Travis Etienne Jr.,JAC,150,39,558,254,2,15,91.2,6.1
Jaylen Warren,PIT,120,38,511,310,1,15,86.1,5.7
Ameer Abdullah,FA,66,40,311,261,5,16,85.2,5.3
Justice Hill,BAL,47,42,228,383,4,15,85.1,5.7
Emanuel Wilson,GB,103,11,502,48,5,17,85,5
Tyjae Spears,TEN,84,30,312,224,5,12,83.6,7
Antonio Gibson,NE,120,23,538,206,1,17,80.4,4.7
Cam Akers,FA,104,14,444,68,5,16,79.2,5
Isaac Guerendo,SF,84,15,420,152,4,16,79.2,5
Devin Singletary,NYG,113,21,437,119,4,16,75.6,4.7
Ty Johnson,BUF,41,18,213,284,4,17,73.7,4.3
Jaleel McLaughlin,DEN,113,24,496,76,3,16,73.2,4.6
Braelon Allen,NYJ,92,19,334,148,3,17,66.2,3.9
Roschon Johnson,CHI,55,16,150,104,6,13,61.4,4.7
Gus Edwards,FA,101,3,365,6,4,11,61.1,5.6
Sean Tucker,TB,50,9,308,109,3,17,59.7,3.5
Zack Moss,CIN,74,23,242,187,3,8,58.9,7.4
Nick Chubb,HOU,102,5,332,31,4,8,58.3,7.3
Jeremy McNichols,WAS,55,9,261,27,4,17,54.8,3.2
Samaje Perine,CIN,20,28,92,322,2,17,53.4,3.1
Miles Sanders,DAL,55,24,205,148,3,11,53.3,4.8
Raheem Mostert,LV,85,19,278,161,2,13,51.9,4
Ezekiel Elliott,FA,74,12,226,69,3,15,45.5,3
Isiah Pacheco,KC,83,12,310,79,1,7,44.9,6.4
Kenneth Gainwell,PIT,75,16,290,116,1,17,44.6,2.6
Audric Estime,DEN,76,5,310,27,2,13,43.7,3.4
Dameon Pierce,HOU,40,2,293,2,2,11,41.5,3.8
Trey Benson,ARI,63,6,291,59,1,13,41,3.2
Emari Demercado,ARI,24,16,223,104,1,13,38.7,3
Kyle Juszczyk,SF,5,19,26,200,3,17,38.6,2.3
Trey Sermon,PIT,56,16,159,99,2,17,37.8,2.2
Dare Ogunbowale,HOU,30,19,112,198,1,17,37,2.2
Isaiah Davis,NYJ,30,9,174,75,2,14,36.9,2.6
Tyler Goodson,IND,32,11,153,61,2,16,33.4,2.1
Christian McCaffrey,SF,50,15,202,146,0,4,32.8,8.2
Chris Brooks,GB,36,11,183,69,1,13,31.2,2.4
Chris Rodriguez Jr.,WAS,35,1,173,12,2,8,30.5,3.8
